variable,comunidad,valor,fecha
Carbón,Asturias,213900.071,2024-03-01
Ciclo combinado,Asturias,55031.096,2024-03-01
Eólica,Asturias,114064.288,2024-03-01
Solar fotovoltaica,Asturias,52.931,2024-03-01
Otras renovables,Asturias,20620.744,2024-03-01
Cogeneración,Asturias,5048.294,2024-03-01
Residuos no renovables,Asturias,3291.302,2024-03-01
Generación total,Asturias,747339.9920000001,2024-03-01
Hidráulica,Asturias,154751.541,2024-04-01
Carbón,Asturias,219580.598,2024-04-01
Ciclo combinado,Asturias,33725.31,2024-04-01
Eólica,Asturias,97389.46,2024-04-01
Solar fotovoltaica,Asturias,65.741,2024-04-01
Otras renovables,Asturias,15291.302,2024-04-01
Cogeneración,Asturias,2028.135,2024-04-01
Residuos no renovables,Asturias,2134.673,2024-04-01
Generación total,Asturias,524966.76,2024-04-01
Hidráulica,Asturias,138950.19,2024-05-01
Carbón,Asturias,214352.324,2024-05-01
Ciclo combinado,Asturias,46319.808,2024-05-01
Eólica,Asturias,106670.855,2024-05-01
Solar fotovoltaica,Asturias,63.824,2024-05-01
Otras renovables,Asturias,10650.562,2024-05-01
Cogeneración,Asturias,3990.471,2024-05-01
Residuos no renovables,Asturias,5480.84,2024-05-01
Generación total,Asturias,526478.874,2024-05-01
Hidráulica,Asturias,103968.48,2024-06-01
Carbón,Asturias,190868.327,2024-06-01
Ciclo combinado,Asturias,94633.81,2024-06-01
Eólica,Asturias,83374.94,2024-06-01
Solar fotovoltaica,Asturias,55.784,2024-06-01
Otras renovables,Asturias,20163.061,2024-06-01
Cogeneración,Asturias,7598.572,2024-06-01
Residuos no renovables,Asturias,6136.357,2024-06-01
Generación total,Asturias,506799.331,2024-06-01
Hidráulica,Asturias,72496.34,2024-07-01
Carbón,Asturias,210529.611,2024-07-01
Ciclo combinado,Asturias,127679.601,2024-07-01
Eólica,Asturias,53461.575,2024-07-01
Solar fotovoltaica,Asturias,72.726,2024-07-01
Otras renovables,Asturias,24249.773,2024-07-01
Cogeneración,Asturias,8916.423,2024-07-01
Residuos no renovables,Asturias,21789.383,2024-07-01
Generación total,Asturias,519195.432,2024-07-01
Hidráulica,Asturias,68143.377,2024-08-01
Carbón,Asturias,224373.748,2024-08-01
Ciclo combinado,Asturias,152680.099,2024-08-01
Eólica,Asturias,41112.159,2024-08-01
Solar fotovoltaica,Asturias,61.88,2024-08-01
Otras renovables,Asturias,23821.477,2024-08-01
Cogeneración,Asturias,6622.367,2024-08-01
Residuos no renovables,Asturias,38136.54,2024-08-01
Generación total,Asturias,554951.647,2024-08-01
Hidráulica,Asturias,76486.269,2024-09-01
Carbón,Asturias,300028.865,2024-09-01
Ciclo combinado,Asturias,90531.218,2024-09-01
Eólica,Asturias,111158.225,2024-09-01
Solar fotovoltaica,Asturias,59.3,2024-09-01
Otras renovables,Asturias,22811.033,2024-09-01
Cogeneración,Asturias,6879.424,2024-09-01
Residuos no renovables,Asturias,28402.818,2024-09-01
Generación total,Asturias,636357.152,2024-09-01
Hidráulica,Asturias,174186.494,2024-10-01
Carbón,Asturias,256517.869,2024-10-01
Ciclo combinado,Asturias,79594.871,2024-10-01
Eólica,Asturias,138456.224,2024-10-01
Solar fotovoltaica,Asturias,37.921,2024-10-01
Otras renovables,Asturias,24038.947,2024-10-01
Cogeneración,Asturias,4513.337,2024-10-01
Residuos no renovables,Asturias,33373.258,2024-10-01
Generación total,Asturias,710718.9210000001,2024-10-01
Hidráulica,Asturias,140328.646,2024-11-01
Carbón,Asturias,232183.375,2024-11-01
Ciclo combinado,Asturias,211747.204,2024-11-01
Eólica,Asturias,137171.179,2024-11-01
Solar fotovoltaica,Asturias,30.479,2024-11-01
Otras renovables,Asturias,20615.31,2024-11-01
Cogeneración,Asturias,7850.702,2024-11-01
Residuos no renovables,Asturias,11938.319,2024-11-01
Generación total,Asturias,761865.2140000002,2024-11-01
Hidráulica,Asturias,197042.354,2024-12-01
Carbón,Asturias,274735.614,2024-12-01
Ciclo combinado,Asturias,300649.708,2024-12-01
Eólica,Asturias,118885.403,2024-12-01
Solar fotovoltaica,Asturias,21.988,2024-12-01
Otras renovables,Asturias,21011.152,2024-12-01
Cogeneración,Asturias,7085.117,2024-12-01
Residuos no renovables,Asturias,7774.901,2024-12-01
Generación total,Asturias,927206.237,2024-12-01
Hidráulica,Cantabria,20691.749,2023-01-01
Eólica,Cantabria,5901.238,2023-01-01
Solar fotovoltaica,Cantabria,200.167,2023-01-01
Otras renovables,Cantabria,6457.788,2023-01-01
Cogeneración,Cantabria,18219.822,2023-01-01
Residuos no renovables,Cantabria,3405.2675,2023-01-01
Residuos renovables,Cantabria,3405.2675,2023-01-01
Generación total,Cantabria,58281.299000000006,2023-01-01
Hidráulica,Cantabria,26144.179,2023-02-01
Eólica,Cantabria,4222.24,2023-02-01
Solar fotovoltaica,Cantabria,322.257,2023-02-01
Otras renovables,Cantabria,6250.748,2023-02-01
Cogeneración,Cantabria,67967.652,2023-02-01
Residuos no renovables,Cantabria,3180.4165,2023-02-01
Residuos renovables,Cantabria,3180.4165,2023-02-01
Generación total,Cantabria,111267.909,2023-02-01
Hidráulica,Cantabria,31191.309,2023-03-01
Eólica,Cantabria,9095.827,2023-03-01
Solar fotovoltaica,Cantabria,423.986,2023-03-01
Otras renovables,Cantabria,4119.632,2023-03-01
Cogeneración,Cantabria,71553.113,2023-03-01
Residuos no renovables,Cantabria,3517.879,2023-03-01
Residuos renovables,Cantabria,3517.879,2023-03-01
Generación total,Cantabria,123419.625,2023-03-01
Hidráulica,Cantabria,11075.958,2023-04-01
Eólica,Cantabria,3759.783,2023-04-01
Solar fotovoltaica,Cantabria,506.838,2023-04-01
Otras renovables,Cantabria,6536.202,2023-04-01
Cogeneración,Cantabria,48006.934,2023-04-01
Residuos no renovables,Cantabria,3417.168,2023-04-01
Residuos renovables,Cantabria,3417.168,2023-04-01
Generación total,Cantabria,76720.051,2023-04-01
Hidráulica,Cantabria,14668.023,2023-05-01
Eólica,Cantabria,5414.059,2023-05-01
Solar fotovoltaica,Cantabria,527.547,2023-05-01
Otras renovables,Cantabria,7037.882,2023-05-01
Cogeneración,Cantabria,57746.998,2023-05-01
Residuos no renovables,Cantabria,3532.8295,2023-05-01
Residuos renovables,Cantabria,3532.8295,2023-05-01
Generación total,Cantabria,92460.16799999998,2023-05-01
Hidráulica,Cantabria,16149.28,2023-06-01
Eólica,Cantabria,2973.188,2023-06-01
Solar fotovoltaica,Cantabria,498.341,2023-06-01
Otras renovables,Cantabria,6716.654,2023-06-01
Cogeneración,Cantabria,67118.766,2023-06-01
Residuos no renovables,Cantabria,3390.741,2023-06-01
Residuos renovables,Cantabria,3390.741,2023-06-01
Generación total,Cantabria,100237.711,2023-06-01
Hidráulica,Cantabria,10929.087,2023-07-01
Eólica,Cantabria,2135.73,2023-07-01
Solar fotovoltaica,Cantabria,616.406,2023-07-01
Otras renovables,Cantabria,7054.695,2023-07-01
Cogeneración,Cantabria,36112.877,2023-07-01
Residuos no renovables,Cantabria,3433.04,2023-07-01
Residuos renovables,Cantabria,3433.04,2023-07-01
Generación total,Cantabria,63714.875,2023-07-01
Hidráulica,Cantabria,4249.138,2023-08-01
Eólica,Cantabria,3924.877,2023-08-01
Solar fotovoltaica,Cantabria,591.129,2023-08-01
Otras renovables,Cantabria,7039.047,2023-08-01
Cogeneración,Cantabria,25949.877,2023-08-01
Residuos no renovables,Cantabria,3372.3545,2023-08-01
Residuos renovables,Cantabria,3372.3545,2023-08-01
Generación total,Cantabria,48498.777,2023-08-01
Hidráulica,Cantabria,8804.64,2023-09-01
Eólica,Cantabria,6180.096,2023-09-01
Solar fotovoltaica,Cantabria,502.482,2023-09-01
Otras renovables,Cantabria,6780.288,2023-09-01
Cogeneración,Cantabria,21058.066,2023-09-01
Residuos no renovables,Cantabria,3259.3115,2023-09-01
Residuos renovables,Cantabria,3259.3115,2023-09-01
Generación total,Cantabria,49844.19499999999,2023-09-01
Hidráulica,Cantabria,7153.182,2023-10-01
Eólica,Cantabria,8896.341,2023-10-01
Solar fotovoltaica,Cantabria,398.847,2023-10-01
Otras renovables,Cantabria,6918.053,2023-10-01
Cogeneración,Cantabria,58876.645,2023-10-01
Residuos no renovables,Cantabria,3472.0315,2023-10-01
Residuos renovables,Cantabria,3472.0315,2023-10-01
Generación total,Cantabria,89187.131,2023-10-01
Hidráulica,Cantabria,13427.475,2023-11-01
Eólica,Cantabria,8371.91,2023-11-01
Solar fotovoltaica,Cantabria,237.637,2023-11-01
Otras renovables,Cantabria,6263.522,2023-11-01
Cogeneración,Cantabria,38273.843,2023-11-01
Residuos no renovables,Cantabria,3312.047,2023-11-01
Residuos renovables,Cantabria,3312.047,2023-11-01
Generación total,Cantabria,73198.48100000001,2023-11-01
Hidráulica,Cantabria,18838.609,2023-12-01
Eólica,Cantabria,8958.932,2023-12-01
Solar fotovoltaica,Cantabria,244.383,2023-12-01
Otras renovables,Cantabria,6909.192,2023-12-01
Cogeneración,Cantabria,45976.983,2023-12-01
Residuos no renovables,Cantabria,3442.174,2023-12-01
Residuos renovables,Cantabria,3442.174,2023-12-01
Generación total,Cantabria,87812.447,2023-12-01
Hidráulica,Cantabria,19830.439,2024-01-01
Eólica,Cantabria,6748.431,2024-01-01
Solar fotovoltaica,Cantabria,257.71,2024-01-01
Otras renovables,Cantabria,6236.35,2024-01-01
Cogeneración,Cantabria,54782.498,2024-01-01
Residuos no renovables,Cantabria,3353.7285,2024-01-01
Residuos renovables,Cantabria,3353.7285,2024-01-01
Generación total,Cantabria,94562.885,2024-01-01
Hidráulica,Cantabria,11054.901,2024-02-01
Eólica,Cantabria,6061.721,2024-02-01
Solar fotovoltaica,Cantabria,306.345,2024-02-01
Otras renovables,Cantabria,6401.866,2024-02-01
Cogeneración,Cantabria,42484.803,2024-02-01
Residuos no renovables,Cantabria,3277.4725,2024-02-01
Residuos renovables,Cantabria,3277.4725,2024-02-01
Generación total,Cantabria,72864.581,2024-02-01
Hidráulica,Cantabria,26179.716,2024-03-01
Eólica,Cantabria,6892.368,2024-03-01
Solar fotovoltaica,Cantabria,471.262,2024-03-01
Otras renovables,Cantabria,5964.365,2024-03-01
Cogeneración,Cantabria,13880.414,2024-03-01
Residuos no renovables,Cantabria,1530.681,2024-03-01
Residuos renovables,Cantabria,1530.681,2024-03-01
Generación total,Cantabria,56449.487,2024-03-01
Hidráulica,Cantabria,17127.552,2024-04-01
Eólica,Cantabria,4495.493,2024-04-01
Solar fotovoltaica,Cantabria,588.758,2024-04-01
Otras renovables,Cantabria,349.245,2024-04-01
Cogeneración,Cantabria,1170.474,2024-04-01
Residuos no renovables,Cantabria,3424.7115,2024-04-01
Residuos renovables,Cantabria,3424.7115,2024-04-01
Generación total,Cantabria,30580.945,2024-04-01
Hidráulica,Cantabria,19037.164,2024-05-01
Eólica,Cantabria,3447.467,2024-05-01
Solar fotovoltaica,Cantabria,569.61,2024-05-01
Otras renovables,Cantabria,4820.384,2024-05-01
Cogeneración,Cantabria,4992.459,2024-05-01
Residuos no renovables,Cantabria,3518.6895,2024-05-01
Residuos renovables,Cantabria,3518.6895,2024-05-01
Generación total,Cantabria,39904.463,2024-05-01
Hidráulica,Cantabria,14805.85,2024-06-01
Eólica,Cantabria,2154.382,2024-06-01
Solar fotovoltaica,Cantabria,526.226,2024-06-01
Otras renovables,Cantabria,6541.358,2024-06-01
Cogeneración,Cantabria,6081.544,2024-06-01
Residuos no renovables,Cantabria,3356.1345,2024-06-01
Residuos renovables,Cantabria,3356.1345,2024-06-01
Generación total,Cantabria,36821.629,2024-06-01
Hidráulica,Cantabria,11411.823,2024-07-01
Eólica,Cantabria,2565.585,2024-07-01
Solar fotovoltaica,Cantabria,660.158,2024-07-01
Otras renovables,Cantabria,6878.659,2024-07-01
Cogeneración,Cantabria,1085.329,2024-07-01
Residuos no renovables,Cantabria,3478.126,2024-07-01
Residuos renovables,Cantabria,3478.126,2024-07-01
Generación total,Cantabria,29557.806,2024-07-01
Hidráulica,Cantabria,2090.945,2024-08-01
Eólica,Cantabria,1790.541,2024-08-01
Solar fotovoltaica,Cantabria,607.162,2024-08-01
Otras renovables,Cantabria,5288.172,2024-08-01
Cogeneración,Cantabria,1616.096,2024-08-01
Residuos no renovables,Cantabria,3394.897,2024-08-01
Residuos renovables,Cantabria,3394.897,2024-08-01
Generación total,Cantabria,18182.71,2024-08-01
Hidráulica,Cantabria,10004.064,2024-09-01
Eólica,Cantabria,3750.04,2024-09-01
Solar fotovoltaica,Cantabria,470.937,2024-09-01
Otras renovables,Cantabria,5541.256,2024-09-01
Cogeneración,Cantabria,28.077,2024-09-01
Residuos no renovables,Cantabria,3162.917,2024-09-01
Residuos renovables,Cantabria,3162.917,2024-09-01
Generación total,Cantabria,26120.208,2024-09-01
Hidráulica,Cantabria,17568.971,2024-10-01
Eólica,Cantabria,6540.574,2024-10-01
Solar fotovoltaica,Cantabria,350.813,2024-10-01
Otras renovables,Cantabria,3337.789,2024-10-01
Cogeneración,Cantabria,9.761,2024-10-01
Residuos no renovables,Cantabria,3360.608,2024-10-01
Residuos renovables,Cantabria,3360.608,2024-10-01
Generación total,Cantabria,34529.124,2024-10-01
Hidráulica,Cantabria,18594.656,2024-11-01
Eólica,Cantabria,6426.09,2024-11-01
Solar fotovoltaica,Cantabria,294.398,2024-11-01
Otras renovables,Cantabria,4310.311,2024-11-01
Cogeneración,Cantabria,64.259,2024-11-01
Residuos no renovables,Cantabria,3315.207,2024-11-01
Residuos renovables,Cantabria,3315.207,2024-11-01
Generación total,Cantabria,36320.128,2024-11-01
Hidráulica,Cantabria,36746.144,2024-12-01
Eólica,Cantabria,6672.082,2024-12-01
Solar fotovoltaica,Cantabria,245.057,2024-12-01
Otras renovables,Cantabria,7113.849,2024-12-01
Cogeneración,Cantabria,110.013,2024-12-01
Residuos no renovables,Cantabria,3465.9365,2024-12-01
Residuos renovables,Cantabria,3465.9365,2024-12-01
Generación total,Cantabria,57819.018,2024-12-01
Hidráulica,Castillalamancha,57511.71,2023-01-01
Nuclear,Castillalamancha,684807.59,2023-01-01
Ciclo combinado,Castillalamancha,137545.98,2023-01-01
Eólica,Castillalamancha,994438.892,2023-01-01
Solar fotovoltaica,Castillalamancha,352727.656,2023-01-01
Solar térmica,Castillalamancha,11846.221,2023-01-01
Otras renovables,Castillalamancha,26425.702,2023-01-01
Cogeneración,Castillalamancha,47410.656,2023-01-01
Generación total,Castillalamancha,2312714.407,2023-01-01
Hidráulica,Castillalamancha,58387.792,2023-02-01
Nuclear,Castillalamancha,662165.552,2023-02-01
Ciclo combinado,Castillalamancha,186495.29,2023-02-01
Eólica,Castillalamancha,779668.229,2023-02-01
Solar fotovoltaica,Castillalamancha,423031.918,2023-02-01
Solar térmica,Castillalamancha,26383.245,2023-02-01
Otras renovables,Castillalamancha,31605.456,2023-02-01
Cogeneración,Castillalamancha,67047.267,2023-02-01
Generación total,Castillalamancha,2234784.749,2023-02-01
Hidráulica,Castillalamancha,63426.027,2023-03-01
Nuclear,Castillalamancha,721363.031,2023-03-01
Ciclo combinado,Castillalamancha,153110.379,2023-03-01
Eólica,Castillalamancha,953365.873,2023-03-01
Solar fotovoltaica,Castillalamancha,610852.228,2023-03-01
Solar térmica,Castillalamancha,59263.659,2023-03-01
Otras renovables,Castillalamancha,22343.091,2023-03-01
Cogeneración,Castillalamancha,60751.689,2023-03-01
Generación total,Castillalamancha,2644475.977,2023-03-01
Hidráulica,Castillalamancha,53549.533,2023-04-01
Nuclear,Castillalamancha,689396.797,2023-04-01
Ciclo combinado,Castillalamancha,75620.561,2023-04-01
Eólica,Castillalamancha,671865.716,2023-04-01
Solar fotovoltaica,Castillalamancha,770414.16,2023-04-01
Solar térmica,Castillalamancha,75732.663,2023-04-01
Otras renovables,Castillalamancha,27385.304,2023-04-01
Cogeneración,Castillalamancha,52899.165,2023-04-01
Generación total,Castillalamancha,2416863.899,2023-04-01
Hidráulica,Castillalamancha,54646.145,2023-05-01
Nuclear,Castillalamancha,537581.437,2023-05-01
Ciclo combinado,Castillalamancha,17052.68,2023-05-01
Eólica,Castillalamancha,538347.514,2023-05-01
Solar fotovoltaica,Castillalamancha,837882.806,2023-05-01
Solar térmica,Castillalamancha,59687.752,2023-05-01
Otras renovables,Castillalamancha,35293.715,2023-05-01
Cogeneración,Castillalamancha,59627.504,2023-05-01
Generación total,Castillalamancha,2140119.5530000003,2023-05-01
Hidráulica,Castillalamancha,51791.349,2023-06-01
Nuclear,Castillalamancha,164689.162,2023-06-01
Ciclo combinado,Castillalamancha,NA,2023-06-01
Eólica,Castillalamancha,391716.439,2023-06-01
Solar fotovoltaica,Castillalamancha,895975.877,2023-06-01
Solar térmica,Castillalamancha,64381.064,2023-06-01
Otras renovables,Castillalamancha,32000.453,2023-06-01
Cogeneración,Castillalamancha,54984.814,2023-06-01
Generación total,Castillalamancha,1655539.158,2023-06-01
Hidráulica,Castillalamancha,40455.248,2023-07-01
Nuclear,Castillalamancha,724499.935,2023-07-01
Ciclo combinado,Castillalamancha,40412.26,2023-07-01
Eólica,Castillalamancha,594527.822,2023-07-01
Solar fotovoltaica,Castillalamancha,1142410.731,2023-07-01
Solar térmica,Castillalamancha,97877.96,2023-07-01
Otras renovables,Castillalamancha,27711.177,2023-07-01
Cogeneración,Castillalamancha,39452.504,2023-07-01
Generación total,Castillalamancha,2707347.6370000006,2023-07-01
Hidráulica,Castillalamancha,40419.34,2023-08-01
Nuclear,Castillalamancha,725937.051,2023-08-01
Ciclo combinado,Castillalamancha,53512.33,2023-08-01
Eólica,Castillalamancha,560915.629,2023-08-01
Solar fotovoltaica,Castillalamancha,1113144.443,2023-08-01
Solar térmica,Castillalamancha,100752.803,2023-08-01
Otras renovables,Castillalamancha,33703.016,2023-08-01
Cogeneración,Castillalamancha,41298.556,2023-08-01
Generación total,Castillalamancha,2669683.167999999,2023-08-01
Hidráulica,Castillalamancha,52584.372,2023-09-01
Nuclear,Castillalamancha,705202.382,2023-09-01
Ciclo combinado,Castillalamancha,112397.28,2023-09-01
Eólica,Castillalamancha,578699.434,2023-09-01
Solar fotovoltaica,Castillalamancha,815081.479,2023-09-01
Solar térmica,Castillalamancha,50287.663,2023-09-01
Otras renovables,Castillalamancha,23040.787,2023-09-01
Cogeneración,Castillalamancha,55445.404,2023-09-01
Generación total,Castillalamancha,2392738.801,2023-09-01
Hidráulica,Castillalamancha,40635.568,2023-10-01
Nuclear,Castillalamancha,731198.071,2023-10-01
Ciclo combinado,Castillalamancha,108370.19,2023-10-01
Eólica,Castillalamancha,936905.704,2023-10-01
Solar fotovoltaica,Castillalamancha,655592.996,2023-10-01
Solar térmica,Castillalamancha,27120.562,2023-10-01
Otras renovables,Castillalamancha,9489.44,2023-10-01
Cogeneración,Castillalamancha,42663.462,2023-10-01
Generación total,Castillalamancha,2551975.993,2023-10-01
Hidráulica,Castillalamancha,44729.638,2023-11-01
Nuclear,Castillalamancha,660332.95,2023-11-01
Ciclo combinado,Castillalamancha,165845.76,2023-11-01
Eólica,Castillalamancha,1147661.751,2023-11-01
Solar fotovoltaica,Castillalamancha,468401.253,2023-11-01
Solar térmica,Castillalamancha,3171.874,2023-11-01
Otras renovables,Castillalamancha,5169.708,2023-11-01
Cogeneración,Castillalamancha,31534.529,2023-11-01
Generación total,Castillalamancha,2526847.463,2023-11-01
Hidráulica,Castillalamancha,60776.352,2023-12-01
Nuclear,Castillalamancha,734269.175,2023-12-01
Ciclo combinado,Castillalamancha,142916.449,2023-12-01
Eólica,Castillalamancha,911901.701,2023-12-01
Solar fotovoltaica,Castillalamancha,453767.665,2023-12-01
Solar térmica,Castillalamancha,6217.799,2023-12-01
Otras renovables,Castillalamancha,7652.637,2023-12-01
Cogeneración,Castillalamancha,42106.828,2023-12-01
Generación total,Castillalamancha,2359608.6060000006,2023-12-01
Hidráulica,Castillalamancha,67854.941,2024-01-01
Nuclear,Castillalamancha,733454.595,2024-01-01
Ciclo combinado,Castillalamancha,139673.72,2024-01-01
Eólica,Castillalamancha,934657.379,2024-01-01
Solar fotovoltaica,Castillalamancha,446892.676,2024-01-01
Solar térmica,Castillalamancha,6934.932,2024-01-01
Otras renovables,Castillalamancha,9389.505,2024-01-01
Cogeneración,Castillalamancha,74722.68,2024-01-01
Generación total,Castillalamancha,2413580.428,2024-01-01
Hidráulica,Castillalamancha,66264.144,2024-02-01
Nuclear,Castillalamancha,610840.15,2024-02-01
Ciclo combinado,Castillalamancha,86061.33,2024-02-01
Eólica,Castillalamancha,1177861.186,2024-02-01
Solar fotovoltaica,Castillalamancha,605983.595,2024-02-01
Solar térmica,Castillalamancha,21973.706,2024-02-01
Otras renovables,Castillalamancha,14947.103,2024-02-01
Cogeneración,Castillalamancha,64027.156,2024-02-01
Generación total,Castillalamancha,2647958.37,2024-02-01
Hidráulica,Castillalamancha,105276.692,2024-03-01
Nuclear,Castillalamancha,438084.05,2024-03-01
Ciclo combinado,Castillalamancha,109842.89,2024-03-01
Eólica,Castillalamancha,1069597.718,2024-03-01
Solar fotovoltaica,Castillalamancha,730313.895,2024-03-01
Solar térmica,Castillalamancha,23542.38,2024-03-01
Otras renovables,Castillalamancha,29964.465,2024-03-01
Cogeneración,Castillalamancha,44149.228,2024-03-01
Generación total,Castillalamancha,2550771.318,2024-03-01
Hidráulica,Castillalamancha,119290.314,2024-04-01
Nuclear,Castillalamancha,424919.07,2024-04-01
Ciclo combinado,Castillalamancha,91945.351,2024-04-01
Eólica,Castillalamancha,519401.762,2024-04-01
Solar fotovoltaica,Castillalamancha,1020913.223,2024-04-01
Solar térmica,Castillalamancha,67251.133,2024-04-01
Otras renovables,Castillalamancha,27261.159,2024-04-01
Cogeneración,Castillalamancha,35480.361,2024-04-01
Generación total,Castillalamancha,2306462.373,2024-04-01
Hidráulica,Castillalamancha,88173.598,2024-05-01
Nuclear,Castillalamancha,143585.025,2024-05-01
Ciclo combinado,Castillalamancha,111092.439,2024-05-01
Eólica,Castillalamancha,620963.518,2024-05-01
Solar fotovoltaica,Castillalamancha,1275356.31,2024-05-01
Solar térmica,Castillalamancha,75359.692,2024-05-01
Otras renovables,Castillalamancha,34274.827,2024-05-01
Cogeneración,Castillalamancha,46714.777,2024-05-01
Generación total,Castillalamancha,2395520.186,2024-05-01
Hidráulica,Castillalamancha,76190.13,2024-06-01
Nuclear,Castillalamancha,439273.058,2024-06-01
Ciclo combinado,Castillalamancha,105786.118,2024-06-01
Eólica,Castillalamancha,579783.649,2024-06-01
Solar fotovoltaica,Castillalamancha,1160149.185,2024-06-01
Solar térmica,Castillalamancha,69898.189,2024-06-01
Otras renovables,Castillalamancha,31734.189,2024-06-01
Cogeneración,Castillalamancha,50143.693,2024-06-01
Generación total,Castillalamancha,2512958.211,2024-06-01
Hidráulica,Castillalamancha,64765.808,2024-07-01
Nuclear,Castillalamancha,727405.288,2024-07-01
Ciclo combinado,Castillalamancha,126973.977,2024-07-01
Eólica,Castillalamancha,584459.778,2024-07-01
Solar fotovoltaica,Castillalamancha,1397156.519,2024-07-01
Solar térmica,Castillalamancha,75769.429,2024-07-01
Otras renovables,Castillalamancha,33068.504,2024-07-01
Cogeneración,Castillalamancha,44994.289,2024-07-01
Generación total,Castillalamancha,3054593.592,2024-07-01
Hidráulica,Castillalamancha,42894.322,2024-08-01
Nuclear,Castillalamancha,727278.2,2024-08-01
Ciclo combinado,Castillalamancha,129292.011,2024-08-01
Eólica,Castillalamancha,557676.895,2024-08-01
Solar fotovoltaica,Castillalamancha,1311974.651,2024-08-01
Solar térmica,Castillalamancha,78732.161,2024-08-01
Otras renovables,Castillalamancha,26710.343,2024-08-01
Cogeneración,Castillalamancha,49984.133,2024-08-01
Generación total,Castillalamancha,2924542.7159999995,2024-08-01
Hidráulica,Castillalamancha,44246.274,2024-09-01
Nuclear,Castillalamancha,708815.202,2024-09-01
Ciclo combinado,Castillalamancha,92851.221,2024-09-01
Eólica,Castillalamancha,564729.842,2024-09-01
Solar fotovoltaica,Castillalamancha,1058540.053,2024-09-01
Solar térmica,Castillalamancha,66195.541,2024-09-01
Otras renovables,Castillalamancha,27681.853,2024-09-01
Cogeneración,Castillalamancha,48261.628,2024-09-01
Generación total,Castillalamancha,2611321.6140000005,2024-09-01
Hidráulica,Castillalamancha,40553.041,2024-10-01
Nuclear,Castillalamancha,734044.251,2024-10-01
Ciclo combinado,Castillalamancha,116090.242,2024-10-01
Eólica,Castillalamancha,987854.017,2024-10-01
Solar fotovoltaica,Castillalamancha,690766.301,2024-10-01
Solar térmica,Castillalamancha,20456.066,2024-10-01
Otras renovables,Castillalamancha,31505.541,2024-10-01
Cogeneración,Castillalamancha,50687.115,2024-10-01
Generación total,Castillalamancha,2671956.5740000005,2024-10-01
Hidráulica,Castillalamancha,58951.778,2024-11-01
Nuclear,Castillalamancha,711344.353,2024-11-01
Ciclo combinado,Castillalamancha,183772.079,2024-11-01
Eólica,Castillalamancha,612195.448,2024-11-01
Solar fotovoltaica,Castillalamancha,523782.74,2024-11-01
Solar térmica,Castillalamancha,16692.825,2024-11-01
Otras renovables,Castillalamancha,34408.944,2024-11-01
Cogeneración,Castillalamancha,56811.173,2024-11-01
Generación total,Castillalamancha,2197959.3400000003,2024-11-01
Hidráulica,Castillalamancha,44748.368,2024-12-01
Nuclear,Castillalamancha,737111.87,2024-12-01
Ciclo combinado,Castillalamancha,205057.13,2024-12-01
Eólica,Castillalamancha,765813.972,2024-12-01
Solar fotovoltaica,Castillalamancha,599907.99,2024-12-01
Solar térmica,Castillalamancha,11906.018,2024-12-01
Otras renovables,Castillalamancha,35906,2024-12-01
Cogeneración,Castillalamancha,55558.308,2024-12-01
Generación total,Castillalamancha,2456009.6560000004,2024-12-01
Hidráulica,Castillayleon,1100674.485,2023-01-01
Eólica,Castillayleon,1544713.545,2023-01-01
Solar fotovoltaica,Castillayleon,103360.6,2023-01-01
Otras renovables,Castillayleon,37191.928,2023-01-01
Cogeneración,Castillayleon,131722.745,2023-01-01
Generación total,Castillayleon,2917663.3030000003,2023-01-01
Hidráulica,Castillayleon,697635.894,2023-02-01
Eólica,Castillayleon,937632.905,2023-02-01
Solar fotovoltaica,Castillayleon,162551.106,2023-02-01
Otras renovables,Castillayleon,47707.082,2023-02-01
Cogeneración,Castillayleon,189856.84,2023-02-01
Generación total,Castillayleon,2035383.827,2023-02-01
Hidráulica,Castillayleon,461155.967,2023-03-01
Eólica,Castillayleon,1550498.375,2023-03-01
Solar fotovoltaica,Castillayleon,216082.701,2023-03-01
Otras renovables,Castillayleon,34930.301,2023-03-01
Cogeneración,Castillayleon,196471.638,2023-03-01
Generación total,Castillayleon,2459138.982,2023-03-01
Hidráulica,Castillayleon,316047.035,2023-04-01
Eólica,Castillayleon,1022160.898,2023-04-01
Solar fotovoltaica,Castillayleon,287106.993,2023-04-01
Otras renovables,Castillayleon,42079.123,2023-04-01
Cogeneración,Castillayleon,187742.489,2023-04-01
Generación total,Castillayleon,1855136.538,2023-04-01
Hidráulica,Castillayleon,286950.755,2023-05-01
Eólica,Castillayleon,1204328.465,2023-05-01
Solar fotovoltaica,Castillayleon,289258.298,2023-05-01
Otras renovables,Castillayleon,49435.424,2023-05-01
Cogeneración,Castillayleon,198473.545,2023-05-01
Generación total,Castillayleon,2028446.487,2023-05-01
Hidráulica,Castillayleon,544312.383,2023-06-01
Eólica,Castillayleon,593660.303,2023-06-01
Solar fotovoltaica,Castillayleon,271396.441,2023-06-01
Otras renovables,Castillayleon,40721.366,2023-06-01
Cogeneración,Castillayleon,192508.415,2023-06-01
Generación total,Castillayleon,1642598.9079999998,2023-06-01
Hidráulica,Castillayleon,365122.194,2023-07-01
Eólica,Castillayleon,763812.009,2023-07-01
Solar fotovoltaica,Castillayleon,342781.068,2023-07-01
