variable,comunidad,valor,fecha
Solar térmica,Andalucia,46695.888,2024-01-01
Otras renovables,Andalucia,96577.256,2024-01-01
Cogeneración,Andalucia,306817.259,2024-01-01
Residuos no renovables,Andalucia,1709.787,2024-01-01
Generación total,Andalucia,2383642.247,2024-01-01
Hidráulica,Andalucia,26755.854,2024-02-01
Carbón,Andalucia,2593.469,2024-02-01
Ciclo combinado,Andalucia,366249.366,2024-02-01
Eólica,Andalucia,775589.69,2024-02-01
Solar fotovoltaica,Andalucia,666607.33,2024-02-01
Solar térmica,Andalucia,82670.897,2024-02-01
Otras renovables,Andalucia,95203.628,2024-02-01
Cogeneración,Andalucia,292274.8,2024-02-01
Residuos no renovables,Andalucia,1126.425,2024-02-01
Generación total,Andalucia,2309071.459,2024-02-01
Hidráulica,Andalucia,39191.068,2024-03-01
Carbón,Andalucia,NA,2024-03-01
Ciclo combinado,Andalucia,332179.23,2024-03-01
Eólica,Andalucia,715143.506,2024-03-01
Solar fotovoltaica,Andalucia,660445.174,2024-03-01
Solar térmica,Andalucia,67442.118,2024-03-01
Otras renovables,Andalucia,126316.862,2024-03-01
Cogeneración,Andalucia,293737.231,2024-03-01
Residuos no renovables,Andalucia,518.484,2024-03-01
Generación total,Andalucia,2234973.6730000004,2024-03-01
Hidráulica,Andalucia,38972.645,2024-04-01
Carbón,Andalucia,NA,2024-04-01
Ciclo combinado,Andalucia,342146.563,2024-04-01
Eólica,Andalucia,439816.362,2024-04-01
Solar fotovoltaica,Andalucia,933916.49,2024-04-01
Solar térmica,Andalucia,168026.316,2024-04-01
Otras renovables,Andalucia,114753.209,2024-04-01
Cogeneración,Andalucia,202261.446,2024-04-01
Residuos no renovables,Andalucia,284.24,2024-04-01
Generación total,Andalucia,2240177.2710000006,2024-04-01
Hidráulica,Andalucia,50085.299,2024-05-01
Carbón,Andalucia,NA,2024-05-01
Ciclo combinado,Andalucia,284298.636,2024-05-01
Eólica,Andalucia,535896.748,2024-05-01
Solar fotovoltaica,Andalucia,1185475.53,2024-05-01
Solar térmica,Andalucia,259091.694,2024-05-01
Otras renovables,Andalucia,130291.33,2024-05-01
Cogeneración,Andalucia,246439.55,2024-05-01
Residuos no renovables,Andalucia,1011.732,2024-05-01
Generación total,Andalucia,2692590.519,2024-05-01
Hidráulica,Andalucia,63497.791,2024-06-01
Carbón,Andalucia,NA,2024-06-01
Ciclo combinado,Andalucia,300750.337,2024-06-01
Eólica,Andalucia,493763.226,2024-06-01
Solar fotovoltaica,Andalucia,1060794.948,2024-06-01
Solar térmica,Andalucia,217786.06,2024-06-01
Otras renovables,Andalucia,125121.458,2024-06-01
Cogeneración,Andalucia,265811.003,2024-06-01
Residuos no renovables,Andalucia,1448.447,2024-06-01
Generación total,Andalucia,2528973.2700000005,2024-06-01
Hidráulica,Andalucia,66119.871,2024-07-01
Carbón,Andalucia,NA,2024-07-01
Ciclo combinado,Andalucia,601544.108,2024-07-01
Eólica,Andalucia,418056.741,2024-07-01
Solar fotovoltaica,Andalucia,1274996.331,2024-07-01
Solar térmica,Andalucia,319555.764,2024-07-01
Otras renovables,Andalucia,144367.408,2024-07-01
Cogeneración,Andalucia,291069.001,2024-07-01
Residuos no renovables,Andalucia,1661.927,2024-07-01
